Parent Model,Size,Actual Size,MERV,Thickness,Sale Price
AF16x25x0.5-M8,16x25x0.5,15.5 x 24.5 x 0.5,MERV 8,0.5-Inch Filter,8.24
AF24x30x0.5-M8,24x30x0.5,23.5 x 29.5 x 0.5,MERV 8,0.5-Inch Filter,5.42
AF10x10x1-M8,10x10x1,9.5 x 9.5 x .75,MERV 8,1-Inch Filter,2.84
AF10x12x1-M8,10x12x1,9.5 x 11.5 x .75,MERV 8,1-Inch Filter,4.1
AF10x14x1-M8,10x14x1,9.5 x 13.5 x .75,MERV 8,1-Inch Filter,4.1
AF10x20x1-M8,10x20x1,9.5 x 19.5 x .75,MERV 8,1-Inch Filter,4.88
AF10x30x1N-M8,10x30x1n,9.5 x 29.5 x .75,MERV 8,1-Inch Filter,3.92
AF10x36x1-M8,10x36x1,9.5 x 35.5 x .75,MERV 8,1-Inch Filter,4.12
AF12x12x1-M8,12x12x1,11.5 x 11.5 x .75,MERV 8,1-Inch Filter,2.98
AF12x14x1-M8,12x14x1,11.5 x 13.5 x .75,MERV 8,1-Inch Filter,5.66
AF12x18x1-M8,12x18x1,11.5 x 17.5 x .75,MERV 8,1-Inch Filter,7.58
AF12x18x1A-M8,12x18x1a,12 x 18 x .75,MERV 8,1-Inch Filter,2.54
AF12x20x1-M8,12x20x1,11.5 x 19.5 x .75,MERV 8,1-Inch Filter,3.52
AF12x24x1-M8,12x24x1,11.5 x 23.5 x .75,MERV 8,1-Inch Filter,3.8
AF12x36x1-M8,12x36x1,11.5 x 35.5 x .75,MERV 8,1-Inch Filter,4.56
AF13x13x1-M8,13x13x1,12.5 x 12.5 x .75,MERV 8,1-Inch Filter,4.06
AF13x20x1A-M8,13x20x1a,13 x 20 x .75,MERV 8,1-Inch Filter,4.54
AF13x21.5x1A-M8,13x21.5x1a,13 x 21.5 x .75,MERV 8,1-Inch Filter,4.08
AF13x21x1A-M8,13x21x1a,13 x 21 x .75,MERV 8,1-Inch Filter,3.74
AF13x25x1-M8,13x25x1,12.5 x 24.5 x .75,MERV 8,1-Inch Filter,6.18
AF14x14x1-M8,14x14x1,13.5 x 13.5 x .75,MERV 8,1-Inch Filter,3.4
AF14x16x1-M8,14x16x1,13.5 x 15.5 x .75,MERV 8,1-Inch Filter,4.42
AF14x18x1-M8,14x18x1,13.5 x 17.5 x .75,MERV 8,1-Inch Filter,3.66
AF14x20x1-M8,14x20x1,13.5 x 19.5 x .75,MERV 8,1-Inch Filter,3.8
AF14x21x1-M8,14x21x1,13.5 x 20.5 x .75,MERV 8,1-Inch Filter,4.38
AF14x22x1-M8,14x22x1,13.5 x 21.5 x .75,MERV 8,1-Inch Filter,3.96
AF14x24x1-M8,14x24x1,13.5 x 23.5 x .75,MERV 8,1-Inch Filter,3.96
AF14x25x1-M8,14x25x1,13.5 x 24.5 x .75,MERV 8,1-Inch Filter,4.38
AF14x30x1-M8,14x30x1,13.5 x 29.5 x .75,MERV 8,1-Inch Filter,4.84
AF15x15x1A-M8,15x15x1a,15 x 15 x .75,MERV 8,1-Inch Filter,3.72
AF15x20x1-M8,15x20x1,14.5 x 19.5 x .75,MERV 8,1-Inch Filter,3.96
AF15x24x1-M8,15x24x1,14.5 x 23.5 x .75,MERV 8,1-Inch Filter,4
AF16x16x1-M8,16x16x1,15.5 x 15.5 x .75,MERV 8,1-Inch Filter,3.66
AF16x19x1-M8,16x19x1,15.5 x 18.5 x .75,MERV 8,1-Inch Filter,3.88
AF16x20x1-M8,16x20x1,15.5 x 19.5 x .75,MERV 8,1-Inch Filter,3.82
AF16x21x1A-M8,16x21x1a,16 x 21 x .75,MERV 8,1-Inch Filter,4.04
AF16x22x1A-M8,16x22x1a,16 x 22 x .75,MERV 8,1-Inch Filter,4.42
AF16x23x1-M8,16x23x1,15.5 x 22.5 x .75,MERV 8,1-Inch Filter,5.06
AF16x24x1-M8,16x24x1,15.5 x 23.5 x .75,MERV 8,1-Inch Filter,4.24
AF16x25x1-M8,16x25x1,15.5 x 24.5 x .75,MERV 8,1-Inch Filter,4
AF16x30x1-M8,16x30x1,15.5 x 29.5 x .75,MERV 8,1-Inch Filter,4.6
AF16x36x1-M8,16x36x1,15.5 x 35.5 x .75,MERV 8,1-Inch Filter,6.54
AF17.5x20x1A-M8,17.5x20x1a,17.5 x 20 x .75,MERV 8,1-Inch Filter,9
AF17.5x21x1A-M8,17.5x21x1a,17.5 x 21 x .75,MERV 8,1-Inch Filter,4.9
AF17.5x22x1A-M8,17.5x22x1a,17.5 x 22 x .75,MERV 8,1-Inch Filter,4.7
AF17x17x1A-M8,17x17x1a,17 x 17 x .75,MERV 8,1-Inch Filter,4.02
AF17x19x1A-M8,17x19x1a,17 x 19 x .75,MERV 8,1-Inch Filter,9.06
AF17x20x1-M8,17x20x1,16.5 x 19.5 x .75,MERV 8,1-Inch Filter,4.08
AF17x21x1A-M8,17x21x1a,17 x 21 x .75,MERV 8,1-Inch Filter,4.12
AF17x22x1-M8,17x22x1,16.5 x 21.5 x .75,MERV 8,1-Inch Filter,4.16
AF18x18x1-M8,18x18x1,17.5 x 17.5 x .75,MERV 8,1-Inch Filter,3.94
AF18x20x1-M8,18x20x1,17.5 x 19.5 x .75,MERV 8,1-Inch Filter,4.14
AF18x21x1-M8,18x21x1,17.5 x 20.5 x .75,MERV 8,1-Inch Filter,4.88
AF18x22x1-M8,18x22x1,17.5 x 21.5 x .75,MERV 8,1-Inch Filter,4.14
AF18x24x1-M8,18x24x1,17.5 x 23.5 x .75,MERV 8,1-Inch Filter,4.42
AF18x25x1-M8,18x25x1,17.5 x 24.5 x .75,MERV 8,1-Inch Filter,4.08
AF18x30x1-M8,18x30x1,17.5 x 29.5 x .75,MERV 8,1-Inch Filter,5.08
AF18x36x1-M8,18x36x1,17.5 x 35.5 x .75,MERV 8,1-Inch Filter,5.56
AF18x36x1A-M8,18x36x1a,18 x 36 x .75,MERV 8,1-Inch Filter,7.3
AF19.25x23.25x1A-M8,19.25x23.25x1a,19.25 x 23.25 x .75,MERV 8,1-Inch Filter,4.62
AF19.5x21x1A-M8,19.5x21x1a,19.5 x 21 x .75,MERV 8,1-Inch Filter,4.7
AF19.88x21.5x1A-M8,19.88x21.5x1a,19.88 x 21.5 x .75,MERV 8,1-Inch Filter,4.66
AF19x19x1A-M8,19x19x1a,19 x 19 x .75,MERV 8,1-Inch Filter,4.44
AF19x20x1A-M8,19x20x1a,19 x 20 x .75,MERV 8,1-Inch Filter,4.52
AF19x21x1-M8,19x21x1,18.5 x 20.5 x .75,MERV 8,1-Inch Filter,4.38
AF19x22x1A-M8,19x22x1a,19 x 22 x .75,MERV 8,1-Inch Filter,4.42
AF19x23x1A-M8,19x23x1a,19 x 23 x .75,MERV 8,1-Inch Filter,4.66
AF19x25x1-M8,19x25x1,18.5 x 24.5 x .75,MERV 8,1-Inch Filter,5.02
AF19x26x1-M8,19x26x1,18.5 x 25.5 x .75,MERV 8,1-Inch Filter,5.42
AF19x27x1A-M8,19x27x1a,19 x 27 x .75,MERV 8,1-Inch Filter,4.98
AF20x20x1-M8,20x20x1,19.5 x 19.5 x .75,MERV 8,1-Inch Filter,4.42
AF20x21.5x1A-M8,20x21.5x1a,20 x 21.5 x .75,MERV 8,1-Inch Filter,4.58
AF20x21x1A-M8,20x21x1a,20 x 21 x .75,MERV 8,1-Inch Filter,4.88
AF20x22x1-M8,20x22x1,19.5 x 21.5 x .75,MERV 8,1-Inch Filter,4.58
AF20x23x1-M8,20x23x1,19.5 x 22.5 x .75,MERV 8,1-Inch Filter,4.82
AF20x23x1A-M8,20x23x1a,20 x 23 x .75,MERV 8,1-Inch Filter,4.42
AF20x24x1-M8,20x24x1,19.5 x 23.5 x .75,MERV 8,1-Inch Filter,4.76
AF20x25x1-M8,20x25x1,19.5 x 24.5 x .75,MERV 8,1-Inch Filter,4.82
AF20x26x1A-M8,20x26x1a,20 x 26 x .75,MERV 8,1-Inch Filter,5
AF20x30x1-M8,20x30x1,19.5 x 29.5 x .75,MERV 8,1-Inch Filter,5.12
AF20x36x1-M8,20x36x1,19.5 x 35.5 x .75,MERV 8,1-Inch Filter,5.6
AF20x40x1-M8,20x40x1,19.5 x 39.5 x .75,MERV 8,1-Inch Filter,5.96
AF21.5x23.25x1A-M8,21.5x23.25x1a,21.5 x 23.25 x .75,MERV 8,1-Inch Filter,5.24
AF21.5x24x1A-M8,21.5x24x1a,21.5 x 24 x .75,MERV 8,1-Inch Filter,4.82
AF21x21x1-M8,21x21x1,20.5 x 20.5 x .75,MERV 8,1-Inch Filter,4.86
AF21x21x1A-M8,21x21x1a,21 x 21 x .75,MERV 8,1-Inch Filter,4.9
AF21x22x1-M8,21x22x1,20.5 x 21.5 x .75,MERV 8,1-Inch Filter,5.7
AF21x23x1A-M8,21x23x1a,21 x 23 x .75,MERV 8,1-Inch Filter,5.02
AF21x24x1A-M8,21x24x1a,21 x 24 x .75,MERV 8,1-Inch Filter,4.92
AF22x22x1-M8,22x22x1,21.5 x 21.5 x .75,MERV 8,1-Inch Filter,4.86
AF22x22x1A-M8,22x22x1a,22 x 22 x .75,MERV 8,1-Inch Filter,4.98
AF22x23.5x1A-M8,22x23.5x1a,22 x 23.5 x .75,MERV 8,1-Inch Filter,5.96
AF22x23x1A-M8,22x23x1a,22 x 23 x .75,MERV 8,1-Inch Filter,10.08
AF22x24x1-M8,22x24x1,21.5 x 23.5 x .75,MERV 8,1-Inch Filter,5.04
AF22x24x1A-M8,22x24x1a,22 x 24 x .75,MERV 8,1-Inch Filter,5.04
AF23x23x1A-M8,23x23x1a,23 x 23 x .75,MERV 8,1-Inch Filter,5.38
AF24x24x1-M8,24x24x1,23.5 x 23.5 x .75,MERV 8,1-Inch Filter,5.38
AF24x30x1-M8,24x30x1,23.5 x 29.5 x .75,MERV 8,1-Inch Filter,5.56
AF24x36x1-M8,24x36x1,23.5 x 35.5 x .75,MERV 8,1-Inch Filter,6.16
AF24x36x1A-M8,24x36x1a,24 x 36 x .75,MERV 8,1-Inch Filter,6.26
AF24X40X1-M8,24x40x1,23.5 x 39.5 x .75,MERV 8,1-Inch Filter,7.14
AF25x25x1-M8,25x25x1,24.5 x 24.5 x .75,MERV 8,1-Inch Filter,5.26
AF25X30x1-M8,25x30x1,24.5 x 29.5 x .75,MERV 8,1-Inch Filter,5.66
AF25x32x1-M8,25x32x1,24.5 x 31.5 x .75,MERV 8,1-Inch Filter,5.88
AF25x32x1A-M8,25x32x1a,25 x 32 x .75,MERV 8,1-Inch Filter,5.92
AF28x30x1-M8,28x30x1,27.5 x 29.5 x .75,MERV 8,1-Inch Filter,6.6
AF30x30x1-M8,30x30x1,29.5 x 29.5 x .75,MERV 8,1-Inch Filter,6.6
AF30x36x1A-M8,30x36x1a,30 x 36 x .75,MERV 8,1-Inch Filter,8.2
AF6x14x1-M8,6x14x1,5.5 x 13.5 x .75,MERV 8,1-Inch Filter,6.38
AF6x14x1A-M8,6x14x1a,6 x 14 x .75,MERV 8,1-Inch Filter,2.92
AF6x30x1-M8,6x30x1,5.5 x 29.5 x .75,MERV 8,1-Inch Filter,5.12
AF8x12x1-M8,8x12x1,7.5 x 11.5 x .75,MERV 8,1-Inch Filter,6.44
AF8x14x1A-M8,8x14x1a,8 x 14 x .75,MERV 8,1-Inch Filter,3.76
AF8x24x1A-M8,8x24x1a,8 x 24 x .75,MERV 8,1-Inch Filter,3.14
AF8x30x1-M8,8x30x1,7.5 x 29.5 x .75,MERV 8,1-Inch Filter,3.82
AF8x8x1A-M8,8x8x1a,8 x 8 x .75,MERV 8,1-Inch Filter,2.5
AF9x11.38x1A-M8,9x11.38x1a,9 x 11.38 x .75,MERV 8,1-Inch Filter,3.1
AF9x11x1A-M8,9x11x1a,9 x 11 x .75,MERV 8,1-Inch Filter,2.94
AF10x10x2-M8,10x10x2,9.5 x 9.5 x 1.75,MERV 8,2-Inch Filter,3.68
AF12x24x2-M8,12x24x2,11.75 x 23.75 x 1.75,MERV 8,2-Inch Filter,5.02
AF14x14x2-M8,14x14x2,13.5 x 13.5 x 1.75,MERV 8,2-Inch Filter,5.96
AF14x18x2-M8,14x18x2,13.5 x 17.5 x 1.75,MERV 8,2-Inch Filter,7.24
AF14x20x2-M8,14x20x2,13.5 x 19.5 x 1.75,MERV 8,2-Inch Filter,5.94
AF14x25x2-M8,14x25x2,13.5 x 24.5 x 1.75,MERV 8,2-Inch Filter,4.76
AF16x16x2-M8,16x16x2,15.5 x 15.5 x 1.75,MERV 8,2-Inch Filter,4.2
AF16x20x2-M8,16x20x2,15.5 x 19.5 x 1.75,MERV 8,2-Inch Filter,4.26
AF16x24x2-M8,16x24x2,15.5 x 23.5 x 1.75,MERV 8,2-Inch Filter,5.48
AF16x25x2-M8,16x25x2,15.5 x 24.5 x 1.75,MERV 8,2-Inch Filter,5.24
AF16x30x2-M8,16x30x2,15.5 x 29.5 x 1.75,MERV 8,2-Inch Filter,6.08
AF17x10x2-M8,17x10x2,9.5 x 16.375 x 1.75,MERV 8,2-Inch Filter,6.18
AF18x18x2-M8,18x18x2,17.5 x 17.5 x 1.75,MERV 8,2-Inch Filter,5.76
AF18x20x2-M8,18x20x2,17.5 x 19.5 x 1.75,MERV 8,2-Inch Filter,9.92
AF18x24x2-M8,18x24x2,17.5 x 23.5 x 1.75,MERV 8,2-Inch Filter,5.42
AF20x20x2-M8,20x20x2,19.5 x 19.5 x 1.75,MERV 8,2-Inch Filter,4.92
